unit_id,title,question_text,answer,explanation
4級第2回,4級第2回,彼のケンジツな仕事ぶりには定評がある。,堅実,堅実（けんじつ）は着実でしっかりしていることを意味します。
4級第2回,4級第2回,言葉の問題がショウヘキとなる海外生活。,障壁,障壁（しょうへき）はさまたげとなる壁・障害のことです。
4級第2回,4級第2回,金銭のドレイとなってしまった哀れな人。,奴隷,奴隷（どれい）は他者に支配・束縛された人を指します。
4級第2回,4級第2回,天才画家の描いたキミョウな絵。,奇妙,奇妙（きみょう）はふしぎで普通とは異なるさまです。
4級第2回,4級第2回,受付で住所とセイメイを書く。,姓名,姓名（せいめい）は名字と名前のことです。
4級第2回,4級第2回,祖母はマゴムスメにピアノを贈った。,孫娘,孫娘（まごむすめ）は息子または娘の娘のことです。
4級第2回,4級第2回,コンレイ家具を新居に運び入れる。,婚礼,婚礼（こんれい）は結婚の儀式・お祝いのことです。
4級第2回,4級第2回,ケンイある学者の講演を聴きに行く。,権威,権威（けんい）は他を従わせる力や信頼のことです。
4級第2回,4級第2回,トウゲにさしかかって一休みする。,峠,峠（とうげ）は山道の最も高い所のことです。
4級第2回,4級第2回,ヒマラヤ山脈のシュホウはチョモランマ。,主峰,主峰（しゅほう）は山脈の中で最も高い峰のことです。
4級第2回,4級第2回,首都移転はキョガクの費用がかかる。,巨額,巨額（きょがく）は非常に多くの金額のことです。
4級第2回,4級第2回,先生は彼にゼンプクの信頼をよせている。,全幅,全幅（ぜんぷく）は全く・すべてという意味で使います。
4級第2回,4級第2回,彼女の合格への執念にはダッボウする。,脱帽,脱帽（だつぼう）は感心して敬意を表すことです。
4級第2回,4級第2回,江戸時代は宗教ダンアツが厳しかった。,弾圧,弾圧（だんあつ）は力で押さえつけることです。
4級第2回,4級第2回,対校試合で隣町へエンセイする。,遠征,遠征（えんせい）は遠くへ試合や活動に出かけることです。
4級第2回,4級第2回,暑さ寒さもヒガンまで。,彼岸,彼岸（ひがん）は春分・秋分を中心とした一週間のことです。
4級第2回,4級第2回,感情をセイギョして冷静に振る舞う。,制御,制御（せいぎょ）はコントロールすること・抑えることです。
4級第2回,4級第2回,三十七度前後のビネツが続いている。,微熱,微熱（びねつ）はわずかに高い体温のことです。
4級第2回,4級第2回,現代の世相をショウチョウする事件。,象徴,象徴（しょうちょう）は抽象的な概念を具体物で表すことです。
4級第2回,4級第2回,先生も生徒も学年末はタボウをきわめる。,多忙,多忙（たぼう）は非常に忙しいことです。
4級第2回,4級第2回,ホラー映画を見てキョウフにおののく。,恐怖,恐怖（きょうふ）は非常に怖い・おそろしいことです。
4級第2回,4級第2回,世界のコウキュウの平和を祈念する。,恒久,恒久（こうきゅう）は永久に変わらないことです。
4級第2回,4級第2回,小説家太宰治のクノウに満ちた生涯。,苦悩,苦悩（くのう）は苦しみ悩むことです。
4級第2回,4級第2回,あわやの大サンジを回避した。,惨事,惨事（さんじ）はひどい出来事・悲惨な事故のことです。
4級第2回,4級第2回,シンチョウに考えてから結論を出しなさい。,慎重,慎重（しんちょう）は注意深く丁寧に行動することです。
4級第2回,4級第2回,父はマンセイの胃炎から苦しんでいる。,慢性,慢性（まんせい）は症状が長期間続くことです。
